cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0404;04 - Affaires economiques;Affaires economiques;04.4 - Industries extractives et manufacturieres, construction;Industries extractives et manufacturieres, construction;2002;0,0543
HRV;Croatie;GF0303;03 - Ordre et securite publics;Ordre et securite publics;03.3 - Tribunaux;Tribunaux;2002;0,16469
HRV;Croatie;GF0503;05 - Protection de l environnement;Protection de l environnement;05.3 - Lutte contre la pollution;Lutte contre la pollution;2002;0,00929
HRV;Croatie;GF0205;02 - Defense;Defense;02.5 - Defense n.c.a.;Defense n.c.a.;2002;0,01758
HRV;Croatie;GF03;03 - Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;Ordre et securite publics;2002;0,7037
HRV;Croatie;GF0701;07 - Sante;Sante;07.1 - Produits, appareils et materiels medicaux;Produits, appareils et materiels medicaux;2002;0,24834
HRV;Croatie;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.6 - Services generaux des administrations publiques n.c.a.;Services generaux des administrations publiques n.c.a.;2002;0,01254
HRV;Croatie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2002;0,03037
HRV;Croatie;GF1002;10 - Protection sociale;Protection sociale;10.2 - Vieillesse;Vieillesse;2002;2,73335
HRV;Croatie;GF1003;10 - Protection sociale;Protection sociale;10.3 - Survivants;Survivants;2002;0,48084
HRV;Croatie;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.2 - Aide economique exterieure;Aide economique exterieure;2002;0,00012
HRV;Croatie;GF0506;05 - Protection de l environnement;Protection de l environnement;05.6 - Protection de l environnement n.c.a.;Protection de l'environnement n.c.a.;2002;0,09002
HRV;Croatie;GF0902;09 - Enseignement;Enseignement;09.2 - Enseignement secondaire;Enseignement secondaire;2002;0,34808
HRV;Croatie;GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;RetD dans le domaine des loisirs, de la culture et du culte;2002;0,02821
HRV;Croatie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2003;0
