annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2003;D51C;Impots sur les gains de detention;AUT;Autriche;EUR;Euro;0
2003;D214J;Benefices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0
2003;D59D;Paiements effectues par les menages en vue de l obtention de licences;AUT;Autriche;EUR;Euro;0
2003;D59B;Impots de capitation;AUT;Autriche;EUR;Euro;0
2003;D29E;Autorisations d'exercer des activites commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0
2003;D995A;Impots sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D614;Supplements de cotisations sociales a la charge des menages;AUT;Autriche;EUR;Euro;0
2003;D91B;Prelevements sur le capital;AUT;Autriche;EUR;Euro;0
2003;D214I;Impots generaux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0
2003;D29B;Impots sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0
2003;D2122A;Prelevements sur les produits agricoles importes;AUT;Autriche;EUR;Euro;0
2003;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0
2003;D6142;Supplements de cotisations autres que de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2003;D995B;Autres impots sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D995C;Impots sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D2122B;Montants compensatoires monetaires preleves a l'importation;AUT;Autriche;EUR;Euro;0
2003;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0
2003;D29F;Impots sur les emissions polluantes;AUT;Autriche;EUR;Euro;0
2003;D214K;Droits sur les exportations et montants compensatoires monetaires preleves a l'exportation;AUT;Autriche;EUR;Euro;0
2003;D51C3;Autres impots sur les gains de detention n.c.a.;AUT;Autriche;EUR;Euro;0
2003;D995FN;Cotisations sociales effectives a la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D29D;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2003;D51C2;Impots sur les gains de detention des societes;AUT;Autriche;EUR;Euro;0
2003;D91C;Autres impots en capital n.c.a.;AUT;Autriche;EUR;Euro;0
2003;D59C;Impots sur la depense;AUT;Autriche;EUR;Euro;0
2003;D995FE;Cotisations sociales effectives a la charge des salaries dues non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D2122D;Impots generaux sur les ventes;AUT;Autriche;EUR;Euro;0
2003;D61SC;Remuneration du service des regimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0
2003;D59E;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2003;D51C1;Impots sur les gains de detention des personnes physiques ou des menages;AUT;Autriche;EUR;Euro;0
2003;D995F;Cotisations sociales effectives a la charge des menages dues non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D2122F;Benefices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0
2003;D995FS;Cotisations sociales effectives a la charge des travailleurs independants dues non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D59A;Impots courants sur le capital;AUT;Autriche;EUR;Euro;0
2003;D995G;Impots en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D995D;Autres impots courants dus non recouvrables;AUT;Autriche;EUR;Euro;0
2003;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0
2003;D995;Transferts en capital des administrations publiques vers les secteurs concernes correspondant a des impots et contributions sociales notifies mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0
2003;D613CSN;Cotisations sociales obligatoires a la charge des travailleurs independants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;4120,69
2003;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;78,72
2003;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;464,67
2003;D611C;Cotisations sociales effectives obligatoires a la charge des employeurs;AUT;Autriche;EUR;Euro;15386,99
2003;D59;Autres impots courants;AUT;Autriche;EUR;Euro;1817,65
2003;D29C;Impots sur la masse salariale ou les effectifs employes;AUT;Autriche;EUR;Euro;5616,93
2003;D61N;Cotisations sociales effectives des employeurs et des menages;AUT;Autriche;EUR;Euro;33139,09
2003;D2_D5_D91_D611_D613;Total des impots et des cotisations sociales;AUT;Autriche;EUR;Euro;98655,74
2003;D91A;Impots sur les transferts en capital;AUT;Autriche;EUR;Euro;157,01
2003;ODD;Charges fiscales correspondant au produit total des impots et cotisations sociales obligatoires apres deduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;98445,56
2003;D214;Impots sur les produits a l'exclusion de TVA et des impots sur les importations et les exportations;AUT;Autriche;EUR;Euro;8732,35
2003;D51B;Impots sur le revenu ou les benefices des societes non compris les gains de detention;AUT;Autriche;EUR;Euro;5200,24
2003;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;65516,65
2003;D214C;Impots sur les operations financieres et les operations en capital;AUT;Autriche;EUR;Euro;528,42
2003;D51;Impots sur le revenu;AUT;Autriche;EUR;Euro;29421,75
2003;D214A;Droits d'accise et impots de consommation;AUT;Autriche;EUR;Euro;6236,45
2003;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;17870,87
2003;D611;Cotisations sociales effectives a la charge des employeurs;AUT;Autriche;EUR;Euro;15386,99
2003;D212;Impots et droits sur les importations, a l'exclusion de la TVA;AUT;Autriche;EUR;Euro;21,24
2003;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;939,49
2003;D613C;Cotisations sociales effectives obligatoires a la charge des menages;AUT;Autriche;EUR;Euro;17541,92
2003;D613;Cotisations sociales effectives a la charge des menages;AUT;Autriche;EUR;Euro;17752,1
2003;D214H;Autres taxes sur des services determines;AUT;Autriche;EUR;Euro;334,46
2003;D613CS;Cotisations sociales effectives obligatoires a la charge des travailleurs independants;AUT;Autriche;EUR;Euro;1678,36
2003;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;35774,42
2003;D59F;Autres impots courants n.c.a.;AUT;Autriche;EUR;Euro;1817,65
2003;D2122;Impots sur les importations a l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;22,54
