annee;cde_pays;pays;cde_mesure;mesure;cde_unite;unite;cde_domaine;domaine;valeur_mesuree
2018;BEL;Belgique;Decile superieur des resultats en mathematiques;Decile superieur des resultats en mathematiques;FCTR_D1_SCR;Facteur de decile des scores les plus bas;HSL_6;Savoirs et competences;1,668828607
2018;BEL;Belgique;Decile superieur des resultats en sciences;Decile superieur des resultats en sciences;FCTR_D1_SCR;Facteur de decile des scores les plus bas;HSL_6;Savoirs et competences;1,720108509
2018;BEL;Belgique;Faible competences dans les trois domaines evalues par le PISA;Faible competences dans les trois domaines evalues par le PISA;PT_ST;Pourcentage de depenses chez le maªme prestataire;HSL_6;Savoirs et competences;12,48883843
2018;BEL;Belgique;Competences des eleves en comprehension de l ecrit;Competences des eleves en comprehension de l ecrit;PO;Points;HSL_6;Savoirs et competences;492,8644387
2018;BEL;Belgique;Competences des eleves en sciences;Competences des eleves en sciences;PO;Points;HSL_6;Savoirs et competences;498,773127
2018;BEL;Belgique;Competences des eleves en mathematiques;Competences des eleves en mathematiques;PO;Points;HSL_6;Savoirs et competences;508,0703063
2018;BEL;Belgique;Quintile superieur de la satisfaction a  l egard de la vie;Quintile superieur de la satisfaction a  l egard de la vie;FCTR_Q1_SCR_LIFE_SATISFACTION;Facteur de quintile de satisfaction a  l'egard de la vie les plus bas;HSL_11;Bien-aªtre subjectif;1,716660878
2018;BEL;Belgique;Quintile superieur de la satisfaction a  l egard des relations personnelles;Quintile superieur de la satisfaction a  l egard des relations personnelles;FCTR_Q1_SCR_PERS_REL_SATISFACTION;Facteur de quintile de satisfaction des relations personnelle les plus bas;HSL_7;Liens sociaux;1,619247951
2018;BEL;Belgique;Acces a  des espaces verts;Acces a  des espaces verts;PT_POP_URB;Pourcentage de population urbaine;HSL_9;Qualite environnementale;57,65280958
2018;BEL;Belgique;Quintile superieur de la satisfaction a  l egard de l emploi du temps;Quintile superieur de la satisfaction a  l egard de l emploi du temps;FCTR_Q1_SCR_TIME_USE;Facteur de quintile de satisfaction a  l'egard de l'utilisation du temps les plus bas;HSL_4;Equilibre travail-vie;2,435002427
2018;BEL;Belgique;Satisfaction a  l egard de la vie;Satisfaction a  l egard de la vie;0_TO_10;Echelle 0-10;HSL_11;Bien-aªtre subjectif;7,58002437
2018;BEL;Belgique;Satisfaction a  l egard de l emploi du temps;Satisfaction a  l egard de l emploi du temps;0_TO_10;Echelle 0-10;HSL_4;Equilibre travail-vie;7,010781268
2018;BEL;Belgique;Satisfaction a  l egard des relations personnelles;Satisfaction a  l egard des relations personnelles;0_TO_10;Echelle 0-10;HSL_7;Liens sociaux;7,917494383
2018;BEL;Belgique;Quintile superieur du revenu disponible moyen des menages;Quintile superieur du revenu disponible moyen des menages;FCTR_Q1_INC;Facteur de quintile des revenus les plus bas;HSL_1;Revenu et patrimoine;3,764674577
2018;BEL;Belgique;Esperance de vie a  la naissance;Esperance de vie a  la naissance;Y;Annees;HSL_5;Sante;81,7
