annee;cde_age;cde_pays;pays;cde_mesure;mesure;cde_sexe;sexe;age;valeur_mesuree
2006;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;15,773
2006;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;635370,3573
2006;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;14,972
2006;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;668408,0367
2006;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,619
2007;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2792390
2007;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,588
2007;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;837622
2007;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;19,674
2007;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2801988
2007;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,422
2007;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;575295
2007;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,254
2007;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1412917
2007;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,036
2007;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5594378
2007;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,454
2007;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1286345,735
2007;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;15,51
2007;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;627468,7288
2007;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;14,738
2007;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;658863,5746
2007;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,324
2008;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2803876
2008;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,663
2008;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;846911
2008;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;19,834
2008;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2810330
2008;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,403
2008;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;589316
2008;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,553
2008;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1436227
2008;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,264
2008;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5614206
2008;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,483
2008;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1268956,252
2008;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;15,253
2008;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;619289,1223
2008;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;14,503
2008;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;649671,6173
2008;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,044
2009;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2810116
2009;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,683
2009;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;857683
2009;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,047
2009;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2814750
2009;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,321
2009;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;604456
2009;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,887
2009;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1462139
2009;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,534
2009;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5624866
2009;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,455
2009;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1251730,063
2009;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;15,011
2009;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;610516,5494
2009;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;14,27
2009;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;641223,1056
2009;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,792
2010;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2819028
2010;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,756
2010;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;863974
2010;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,153
2010;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2821051
2010;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,309
2010;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;614544
2010;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,098
2010;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1478518
2010;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,691
2010;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5640079
2010;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,486
2010;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1238728,937
2010;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,822
2010;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;604098,0792
2010;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;14,091
2010;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;634632,9122
2010;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,592
2011;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2837529
2011;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;66,001
2011;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;862913
2011;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,071
2011;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2837458
2011;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,449
2011;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;618696
2011;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,143
2011;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1481609
2011;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,67
2011;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5674987
